company_name,year,sales,profit,rprofit,totalassets,totalliabilities,sequity,mnc,psic_5,exporter,nationality,bind,aki_16,
Abacus Book and Card Corporation,2018,8.79,0.14,1.55,6.35,4.76,1.59,0,47610,0,Filipino,SERV,TRD,
Abacus Book and Card Corporation,2019,8.39,-0.05,-0.62,7.58,6.06,1.52,0,47610,0,Filipino,SERV,TRD,
Abacus Book and Card Corporation,2020,3.81,-0.48,-12.50,6.77,5.71,1.07,0,47610,0,Filipino,SERV,TRD,
Abacus Book and Card Corporation,2021,3.41,-0.38,-11.15,6.15,5.46,-0.33,0,47610,0,Filipino,SERV,TRD,
ABB Inc.,2019,2.27,0.13,5.52,2.15,1.67,0.49,1,33200,0,Swiss,MFG,MFG,
ABB Inc.,2020,3.98,-0.20,-5.10,3.89,3.61,0.28,1,33200,0,Swiss,MFG,MFG,
ABB Inc.,2021,3.81,0.25,6.43,5.48,4.93,0.42,1,27123,0,Swiss,MFG,MFG,
Abbott Laboratories,2018,13.63,0.20,1.48,8.54,6.27,2.27,1,21001,0,American,MFG,MFG,
Abbott Laboratories,2019,16.38,0.06,0.38,8.91,5.26,3.65,1,21001,0,American,MFG,MFG,
Abbott Laboratories,2020,16.67,0.36,2.14,10.04,6.21,3.84,1,21001,0,American,MFG,MFG,
Abbott Laboratories,2021,18.55,0.03,0.17,9.89,5.05,2.33,1,22204,0,American,MFG,MFG,
Abenson Ventures Inc.,2018,21.50,0.74,3.45,6.41,3.47,2.94,0,47593,0,Filipino,SERV,TRD,
Abenson Ventures Inc.,2019,24.40,0.94,3.84,8.04,4.78,3.25,0,47593,0,Filipino,SERV,TRD,
Abenson Ventures Inc.,2020,20.52,0.74,3.58,7.74,3.96,3.78,0,47591,0,Filipino,SERV,TRD,
Abenson Ventures Inc.,2021,22.15,0.81,3.67,8.41,4.09,3.19,0,47593,0,Filipino,SERV,TRD,
Aboitiz & Co. Inc.,2021,7.93,7.72,97.29,9.14,0.66,1.40,0,64304,0,Filipino,SERV,FIA,
Aboitiz & Company Inc.,2019,5.06,4.66,92.07,12.12,2.29,9.83,0,64200,0,Filipino,SERV,FIA,
Aboitiz Energy Solutions Inc.,2018,14.09,1.24,8.77,4.62,3.39,1.23,0,35100,0,Filipino,SERV,EWS,
Aboitiz Energy Solutions Inc.,2019,14.77,0.32,2.19,4.33,3.21,1.12,0,35100,0,Filipino,SERV,EWS,
Aboitiz Energy Solutions Inc.,2020,10.45,0.27,2.60,3.74,3.28,0.47,0,35100,0,Filipino,SERV,EWS,
Aboitiz Energy Solutions Inc.,2021,11.46,0.55,4.82,4.12,3.37,0.72,0,35102,0,Filipino,SERV,EWS,
Aboitiz Equity Ventures Inc.,2018,12.53,9.20,73.44,80.24,32.28,47.96,0,64200,0,Filipino,SERV,FIA,
Aboitiz Equity Ventures Inc.,2019,12.60,9.05,71.83,87.18,37.63,49.54,0,64200,0,Filipino,SERV,FIA,
Aboitiz Equity Ventures Inc.,2020,11.11,6.87,61.77,87.07,38.35,48.73,0,64200,0,Filipino,SERV,FIA,
Aboitiz Equity Ventures Inc.,2021,82.05,77.73,94.73,160.26,38.78,103.98,0,64304,0,Filipino,SERV,FIA,
Aboitiz Land Inc.,2019,1.99,-0.43,-21.54,14.52,6.87,7.65,0,68120,0,Filipino,SERV,REO,
Aboitiz Power Corporation,2018,11.56,9.00,77.83,103.51,28.05,75.46,0,64200,0,Filipino,SERV,FIA,
Aboitiz Power Corporation,2019,16.22,12.30,75.84,127.63,50.98,76.65,0,64200,0,Filipino,SERV,FIA,
Aboitiz Power Corporation,2020,8.67,4.19,48.35,131.57,59.96,71.61,0,64200,0,Filipino,SERV,FIA,
Aboitiz Power Corporation,2021,15.07,9.21,61.15,139.11,63.97,55.65,0,64304,0,Filipino,SERV,FIA,
Aboitiz Renewables Inc.,2018,5.16,5.13,99.40,26.31,0.00,26.31,0,64200,0,Filipino,SERV,FIA,
Aboitiz Renewables Inc.,2019,3.55,3.54,99.69,26.49,0.00,26.49,0,64200,0,Filipino,SERV,FIA,
Aboitiz Renewables Inc.,2020,5.43,5.40,99.45,31.89,0.00,31.89,0,64200,0,Filipino,SERV,FIA,
Aboitiz Renewables Inc.,2021,9.16,9.10,99.36,33.09,0.00,7.92,0,64304,0,Filipino,SERV,FIA,
ABS-CBN Corporation,2018,26.00,1.91,7.33,62.71,32.19,30.51,0,60201,0,Filipino,SERV,IAC,
ABS-CBN Corporation,2019,29.23,-8.58,-29.34,52.63,32.19,20.43,0,60201,0,Filipino,SERV,IAC,
ABS-CBN Corporation,2020,8.61,-11.92,-138.47,39.07,30.42,8.65,0,60201,0,Filipino,SERV,IAC,
ABS-CBN Corporation,2021,6.95,-6.25,-89.90,35.54,33.20,-1.65,0,61101,0,Filipino,SERV,IAC,
Absolut Distillers Inc.,2018,2.33,0.38,16.17,3.18,0.49,2.69,0,11010,0,Filipino,MFG,MFG,
Absolut Distillers Inc.,2019,2.82,0.26,9.11,3.81,0.86,2.95,0,11010,0,Filipino,MFG,MFG,
Absolut Distillers Inc.,2020,2.84,0.15,5.15,4.21,1.12,3.09,0,11010,0,Filipino,MFG,MFG,
Absolut Distillers Inc.,2021,2.97,0.13,4.48,3.84,0.61,1.18,0,11030,0,Filipino,MFG,MFG,
Absolute Sales Corporation,2018,5.89,-0.03,-0.42,2.46,2.43,0.03,0,46306,0,Filipino,SERV,TRD,
Absolute Sales Corporation,2021,4.75,0.00,0.02,3.26,3.28,-0.19,0,46309,0,Filipino,SERV,TRD,
Acbel Polytech Philippines Inc.,2018,4.88,-0.02,-0.33,2.42,1.51,0.91,1,26120,1,Taiwanese,MFG,MFG,
Acbel Polytech Philippines Inc.,2020,3.75,0.06,1.60,2.14,1.07,1.07,1,26120,1,Taiwanese,MFG,MFG,
Acbel Polytech Philippines Inc.,2021,4.10,-0.06,-1.51,2.70,1.64,0.65,1,26200,1,Taiwanese,MFG,MFG,
Accent Micro Technologies Inc.,2018,3.32,0.05,1.39,1.43,1.24,0.19,0,47411,1,Filipino,SERV,TRD,
Accent Micro Technologies Inc.,2019,3.79,0.06,1.69,1.20,0.73,0.47,0,47411,1,Filipino,SERV,TRD,
Accent Micro Technologies Inc.,2020,4.69,0.09,1.94,1.49,0.93,0.56,0,46510,0,Filipino,SERV,TRD,
Accent Micro Technologies Inc.,2021,5.21,0.12,2.28,2.20,1.65,0.22,0,46525,0,Filipino,SERV,TRD,
Accenture Business Services Inc.,2021,3.76,0.44,11.71,3.44,1.83,1.39,1,82219,1,Irish,SERV,PRO,
Accenture Inc.,2018,54.37,7.08,13.03,25.82,7.72,18.10,1,82229,1,Irish,SERV,PRO,
Accenture Inc.,2019,58.41,7.21,12.35,28.05,9.29,18.77,1,82229,1,Irish,SERV,PRO,
Accenture Inc.,2020,61.61,5.85,9.50,37.34,19.30,18.04,1,82211,1,Irish,SERV,PRO,
Accenture Inc.,2021,69.29,7.64,11.03,32.27,22.45,13.39,1,82219,0,Irish,SERV,PRO,
Acciona Construction Philippines Inc.,2021,5.74,0.34,5.90,7.57,6.60,0.88,1,42209,0,Spanish,SERV,CNS,
Ace Hardware Philippines Inc.,2018,19.12,1.29,6.76,4.45,3.77,0.68,0,47521,0,Filipino,SERV,TRD,
Ace Hardware Philippines Inc.,2019,20.28,1.46,7.21,5.71,4.90,0.81,0,47521,0,Filipino,SERV,TRD,
Ace Hardware Philippines Inc.,2021,14.83,1.03,6.92,7.19,6.11,0.99,0,47521,0,Filipino,SERV,TRD,
AC Energy Corporation,2020,18.87,3.37,17.85,50.74,23.96,26.77,0,35100,0,Filipino,SERV,EWS,
AC Energy Corporation,2021,24.49,1.20,4.90,200.02,15.57,5.23,0,35102,0,Filipino,SERV,EWS,
AC Energy Inc.,2018,8.36,4.25,50.82,35.34,4.58,30.76,0,64200,0,Filipino,SERV,FIA,
AC Energy Philippines Inc.,2019,14.97,-0.11,-0.73,24.23,14.25,9.98,0,35100,0,Filipino,SERV,EWS,
Acer Philippines Inc.,2018,2.59,0.00,0.08,0.63,0.57,0.06,1,46510,0,Taiwanese,SERV,TRD,
Acer Philippines Inc.,2019,2.84,0.04,1.55,0.69,0.60,0.10,1,46510,0,Taiwanese,SERV,TRD,
Acer Philippines Inc.,2020,4.07,0.03,0.64,0.91,0.79,0.12,1,46510,0,Taiwanese,SERV,TRD,
Acer Philippines Inc.,2021,4.19,0.11,2.51,1.67,1.44,0.18,1,46525,0,Taiwanese,SERV,TRD,
ACI Inc.,2019,4.36,0.68,15.64,22.33,10.31,12.02,0,68190,0,Filipino,SERV,REO,
ACI Inc.,2020,3.15,0.27,8.45,23.61,11.34,12.26,0,68190,0,Filipino,SERV,REO,
Acquire Asia Pacific Philippines Inc.,2020,2.27,0.02,0.75,3.20,1.85,1.35,1,82211,1,Australian,SERV,PRO,
Acquire Asia Pacific Philippines Inc.,2021,2.94,0.11,3.74,3.97,2.47,0.60,0,82219,1,Filipino,SERV,PRO,
ACS Manufacturing Corporation,2018,4.89,0.27,5.42,1.68,0.30,1.38,0,20231,0,Filipino,MFG,MFG,
ACS Manufacturing Corporation,2020,4.67,0.23,5.01,2.18,0.28,1.90,0,20231,0,Filipino,MFG,MFG,
ACS Manufacturing Corporation,2021,5.18,0.10,1.87,3.13,1.15,0.94,0,20234,0,Filipino,MFG,MFG,
Actimed Inc.,2018,3.02,0.05,1.53,1.24,1.01,0.23,0,46421,0,Filipino,SERV,TRD,
Actimed Inc.,2019,3.47,0.08,2.36,1.39,1.07,0.32,0,46421,0,Filipino,SERV,TRD,
Actimed Inc.,2021,2.90,0.09,2.96,1.43,1.01,0.28,0,46425,0,Filipino,SERV,TRD,
Adidas Philippines Inc.,2018,4.56,0.66,14.37,2.61,1.54,1.07,1,47631,0,German,SERV,TRD,
